Parcela,VOLUME,B,G,R,NIR,NDVI,OSAVI,GNDVI,MTVI2,Idade_IF (anos)
1,120.193843,64,31.5,26.5,111,0.615,0.712044166787738,0.558,0.730506319316243,8.102376
2,84.775151,63,32,26,114,0.629,0.728310502283105,0.562,0.747506414848779,8.102751
3,117.121514,66,31,26,112,0.623,0.722061378112334,0.566,0.736051956734429,8.102697
4,138.660879,63,32,27,125,0.645,0.747108307045216,0.592,0.745935041354465,8.102665
5,144.664899,62,29,21,133,0.727,0.842760768033212,0.642,0.817944720028591,8.102612
6,135.509013,62,30,26,105,0.603,0.698688624580665,0.556,0.715780553327572,8.102515
7,65.060168,63.5,32,27,95.5,0.559,0.647806946029675,0.498,0.698172921105355,8.102794
8,139.323724,62.5,31,24,120,0.667,0.772475027746948,0.589,0.778329003145326,8.102879
9,152.816229,63.5,30,23.5,125,0.684,0.792008610251581,0.613,0.782912153924877,8.102921
10,104.837992,64,32,26,113,0.626,0.725208393216442,0.559,0.74615260160271,8.102397
11,148.358933,63,30,24,114.5,0.653,0.757103706908986,0.585,0.763932782066059,8.102558
12,84.291616,63,31.5,27,96,0.561,0.649886326729458,0.506,0.694138217320691,8.102836
13,65.81088,63,31,26,98,0.581,0.672680412371134,0.519,0.712547778678857,8.102772
14,112.966885,62,31,25,105,0.615,0.712968653964352,0.544,0.742984402472798,8.102729
15,112.990846,63,31,27,109,0.603,0.698589894242068,0.557,0.7142847547951,8.102686
16,103.211912,65,32,28,104,0.576,0.667070217917676,0.529,0.696651439186279,8.102654
17,79.284566,62,31,27,107,0.597,0.691711389385808,0.551,0.710802535958027,8.102601
18,89.406432,66,31,28,92,0.533,0.617842876165113,0.496,0.659411566611864,8.102569
19,62.763052,63,32,26,93,0.563,0.652232292715676,0.488,0.71294089259802,8.102825
20,66.115819,62,31,26,105,0.603,0.698688624580665,0.544,0.72508570052083,8.102997
21,73.374532,65,31,27,101,0.578,0.669787765293383,0.530,0.699525935929633,8.103028
22,97.490618,63,31,26,104,0.600,0.695144437615243,0.541,0.723398215422133,8.020345
23,64.569177,62,30,26,101,0.591,0.684177414281221,0.542,0.708460288667967,8.020312
24,111.182501,64.5,32,26.5,117,0.631,0.730753167200334,0.570,0.743398860582501,8.102622
25,112.689904,63,31,26,115,0.631,0.731368659676962,0.575,0.740341959195185,8.102665
26,121.863704,64,31,27,121,0.635,0.735961123110151,0.592,0.732754492941183,8.102505
27,86.973736,65,33,28,111,0.597,0.6918654785858,0.542,0.718314673822791,8.102536
28,32.907763,63.5,28,26,90,0.552,0.639118457300275,0.525,0.663244824401767,8.020388
29,49.205299,62.5,29.5,24,99.5,0.611,0.708232249716966,0.543,0.738433153122934,8.020431
30,73.4297,66,32,25,102,0.606,0.70242214532872,0.522,0.747929268076367,8.020473
31,78.456123,62,31,26,100,0.587,0.680405833861763,0.527,0.716309715614463,8.020515
32,67.855562,65,31,26,106,0.606,0.702179176755448,0.547,0.726741251187771,8.020548
33,81.896448,64,31,27,108,0.600,0.695176087599882,0.554,0.712559812357,8.102708
34,67.99331,63,31,25,108,0.624,0.723039951937519,0.554,0.747360659209666,8.102739
35,111.689618,64,32,30,115,0.586,0.679250482226509,0.565,0.68348084272543,8.102772
36,63.585633,63.5,32,25.5,107,0.615,0.712648876827981,0.540,0.746278414125739,8.102804
37,41.717677,62.5,29.5,24.5,96,0.593,0.687386043427814,0.530,0.722730207927663,8.021276
38,46.285569,64,30,31,89,0.483,0.559920106524634,0.496,0.576925981974042,8.020741
39,45.240934,63,29,23,102,0.632,0.73218280600831,0.557,0.75604421836617,8.020666
40,63.449489,63,30,25,104,0.612,0.709507587488386,0.552,0.732074528406931,8.020623
41,53.919322,63,31.5,26,102,0.594,0.68789013732834,0.528,0.724713340656747,8.020591
42,65.623869,63,34,29,99,0.547,0.633583021223471,0.489,0.687102460190753,8.102986
43,73.031873,63,31.5,26,107.5,0.610,0.707317073170732,0.547,0.733710838177914,8.102964
44,42.940497,65,33,27,94,0.554,0.641465830307032,0.480,0.705336916265807,8.102921
45,30.73283,63,29,23,95,0.610,0.706838185511171,0.532,0.745395016075159,8.021212
46,49.593966,62,28,23,96,0.613,0.710641154749916,0.548,0.73683234763009,8.021158
47,46.300269,62,31,24,104,0.625,0.724094881398252,0.541,0.759540809292432,8.021051
48,64.839268,62,30,24.5,113.5,0.645,0.747249565720903,0.582,0.754451967997888,8.021093
49,74.046195,62,31,23,114,0.664,0.769612131816856,0.572,0.788386912540086,9.025867
50,52.212489,62,30,22,106,0.656,0.760299625468165,0.559,0.788443625369911,9.025824
51,56.707468,64,30.5,26,97,0.577,0.668723611562196,0.522,0.705571421540894,8.10305
52,51.267953,66,32,28,104,0.576,0.667070217917676,0.529,0.696651439186279,8.103104
53,87.87151,63,30.5,24.5,106,0.625,0.723557324353283,0.553,0.748726985397163,9.02363
54,87.761751,62,28,22,103.5,0.649,0.752347604647461,0.574,0.766857124296236,9.023598
55,51.989877,63,28.5,23,103.5,0.636,0.737249328912048,0.568,0.753417947107991,8.021179
56,45.120368,62,31,22.5,103.5,0.643,0.744768547875713,0.539,0.786098730173722,9.025674
57,28.028393,61,29,23,92,0.600,0.6950329975686,0.521,0.740333146391231,9.025706
58,36.40259,58,27,21,105,0.667,0.772352568167407,0.591,0.777360535282862,9.025739
59,51.279366,61,29,23,103,0.635,0.735573874445149,0.561,0.757446976153745,9.02577
60,59.164248,62,29,23,101,0.629,0.728737113402062,0.554,0.754613587612735,9.023362
61,86.301516,62.5,30,23.5,111.5,0.652,0.755253033441847,0.576,0.768686311626528,9.023458
62,80.106657,62,31,23,107,0.646,0.748617086662569,0.551,0.781057079883474,9.023501
63,61.005543,63,29,25,100,0.600,0.695110258868648,0.550,0.715562526754859,9.023555
64,46.067708,66,32,31,95,0.508,0.588459099556119,0.496,0.617964167718017,8.105651
65,50.841209,63,30,23,95,0.610,0.706838185511171,0.520,0.755681783812927,9.107813
66,32.20573,60.5,29,22,100.5,0.641,0.7423773031143,0.552,0.772590228965087,9.025589
67,32.004539,62,28,22,96,0.627,0.726472579553148,0.548,0.756413559601297,9.025535
68,37.288367,57,29,21,106,0.669,0.775401069518717,0.570,0.796956810526031,9.025503
69,43.489355,62,29,22,100,0.639,0.740667976424361,0.550,0.771950627052059,9.023159
70,33.73878,62,28,21,105,0.667,0.772352568167407,0.579,0.786665956055125,9.023128
71,23.967192,61.5,28,21.5,107.5,0.667,0.772375348405079,0.587,0.780570475099812,9.023085
72,53.094166,61,28,20.5,107,0.678,0.785994046686511,0.585,0.797574955452444,9.023052
73,55.894799,61,29,24,99,0.610,0.706398181227671,0.547,0.73267902973243,8.105522
74,43.620279,62,29,24,99,0.610,0.706398181227671,0.547,0.73267902973243,8.105555
75,72.990401,64.5,31.5,27,103,0.585,0.677320221266134,0.532,0.708174258181692,8.105597
76,42.892438,62,30,23,100,0.626,0.725235466060409,0.538,0.762925707316066,9.107566
77,40.674011,58,29,22,97,0.630,0.730110775427996,0.540,0.767974017308134,9.107598
78,55.911465,63,30,22,101,0.642,0.744072750893147,0.542,0.782898070865077,9.02546
79,51.652563,60,29,22,106,0.656,0.760299625468165,0.570,0.77922620888627,9.022892
80,46.276777,62,29,22,101,0.642,0.744072750893147,0.554,0.773223474932334,9.022923
81,44.245238,62,28.5,23,101.5,0.631,0.73046686988609,0.562,0.750519045768516,9.022966
82,38.675852,60,29,23,103,0.635,0.735573874445149,0.561,0.757446976153745,9.022999
83,22.272767,62.5,28.5,25,86.5,0.552,0.638903815153143,0.504,0.681015467436065,8.190422
84,39.571089,63,29,27,84,0.514,0.594818279956819,0.487,0.635523878260929,8.190293
